Miejscowosc                   Srednia                       Min                           Max                           
Araban                        37.4247                       37.4247                       37.4247                       
Luozi                         -4.948                        -4.948                        -4.948                        
Kaohsiung                     22.615                        22.615                        22.615                        
Prayagraj                     25.4358                       25.4358                       25.4358                       
Baro                          25.4487                       25.4487                       25.4487                       
Jatibonico                    21.9464                       21.9464                       21.9464                       
Swanage                       50.608                        50.608                        50.608                        
Comalcalco                    18.2801                       18.2801                       18.2801                       
Deal                          51.2226                       51.2226                       51.2226                       
Buenavista                    10.2566                       8.2233                        13.7394                       
Malangas                      7.6317                        7.6317                        7.6317                        
Otradnyy                      53.3667                       53.3667                       53.3667                       
Poti                          42.15                         42.15                         42.15                         
Libreville                    0.3903                        0.3903                        0.3903                        
Sivrihisar                    39.45                         39.45                         39.45                         
Heyuan                        23.7503                       23.7503                       23.7503                       
Wafangdian                    39.6271                       39.6271                       39.6271                       
Oleksandriia                  48.6667                       48.6667                       48.6667                       
Yanaul                        56.2833                       56.2833                       56.2833                       
Pisac                         -13.4242                      -13.4242                      -13.4242                      
Liaocheng                     36.45                         36.45                         36.45                         
Moncton                       46.1328                       46.1328                       46.1328                       
Kaneohe                       21.4062                       21.4062                       21.4062                       
Socastee                      33.6871                       33.6871                       33.6871                       
Yulin                         22.6293                       22.6293                       22.6293                       
Palimbang                     6.2167                        6.2167                        6.2167                        
Placerville                   38.7308                       38.7308                       38.7308                       
Chita                         31.0667                       6.1667                        52.0333                       
Abengourou                    6.7333                        6.7333                        6.7333                        
Qingdao                       36.1167                       36.1167                       36.1167                       
Leanja                        -15.55                        -15.55                        -15.55                        
Litija                        46.0667                       46.0667                       46.0667                       
Cenon                         44.8578                       44.8578                       44.8578                       
Bitung                        1.4472                        1.4472                        1.4472                        
Manama                        26.225                        26.225                        26.225                        
Saitama                       35.8614                       35.8614                       35.8614                       
Duvva                         16.7792                       16.7792                       16.7792                       
Ocho Rios                     18.4167                       18.4167                       18.4167                       
Zouping                       36.8625                       36.8625                       36.8625                       
Bartica                       6.4                           6.4                           6.4                           
Jiamusi                       46.8081                       46.8081                       46.8081                       
Tifra                         36.6664                       36.6664                       36.6664                       
San Carlos de Guaroa          3.7111                        3.7111                        3.7111                        
Changde                       29.0397                       29.0397                       29.0397                       
Velika Plana                  44.3333                       44.3333                       44.3333                       
Santiago del Estero           -27.7833                      -27.7833                      -27.7833                      
Gutalac                       7.9833                        7.9833                        7.9833                        
Tacna                         -18.0147                      -18.0147                      -18.0147                      
Dalian                        38.9                          38.9                          38.9                          
Motril                        36.75                         36.75                         36.75                         
Kralendijk                    12.1444                       12.1444                       12.1444                       
Madeira                       39.1856                       39.1856                       39.1856                       
Trentola                      40.9762                       40.9762                       40.9762                       
Carver                        41.8739                       41.8739                       41.8739                       
Zushi                         35.2833                       35.2833                       35.2833                       
Alfonsine                     44.5                          44.5                          44.5                          
Boksburg                      -26.2125                      -26.2125                      -26.2125                      
Tyukalinsk                    55.8667                       55.8667                       55.8667                       
Anshan                        40.4105                       39.7144                       41.1066                       
Takatsuki                     34.85                         34.85                         34.85                         
King of Prussia               40.0963                       40.0963                       40.0963                       
Longba                        33.535                        33.535                        33.535                        
Douala                        4.05                          4.05                          4.05                          
Ntoroko                       1.05                          1.05                          1.05                          
Pudtol                        18.2356                       18.2356                       18.2356                       
Cienfuegos                    22.1456                       22.1456                       22.1456                       
Lithgow                       -33.4833                      -33.4833                      -33.4833                      
Pastrana                      11.1333                       11.1333                       11.1333                       
Bedlington                    55.133                        55.133                        55.133                        
Nagaoki                       32.9781                       32.9781                       32.9781                       
Brazzaville                   -4.2694                       -4.2694                       -4.2694                       
Yuncheng                      35.0304                       35.0304                       35.0304                       
Rongat                        12.4667                       12.4667                       12.4667                       
Tampico                       22.2553                       22.2553                       22.2553                       
General Pico                  -35.6667                      -35.6667                      -35.6667                      
Lucknow                       26.85                         26.85                         26.85                         
Miami                         31.3359                       25.784                        36.8878                       
Attapu                        14.8                          14.8                          14.8                          
Rivera                        -14.0586                      -30.9025                      2.7853                        
Barquisimeto                  10.0678                       10.0678                       10.0678                       
Pudong                        31.2231                       31.2231                       31.2231                       
Sarai Alamgir                 32.9                          32.9                          32.9                          
Nepomuceno                    -21.2358                      -21.2358                      -21.2358                      
Villa Alemana                 -33.0422                      -33.0422                      -33.0422                      
Chinguar                      -12.55                        -12.55                        -12.55                        
Mansa                         -11.2                         -11.2                         -11.2                         
Monterotondo                  42.05                         42.05                         42.05                         
Lipjan                        42.53                         42.53                         42.53                         
Shetpe                        44.1667                       44.1667                       44.1667                       
Vallauris                     43.5805                       43.5805                       43.5805                       
Songnim                       38.7542                       38.7542                       38.7542                       
Aichach                       48.45                         48.45                         48.45                         
Khanna                        30.7                          30.7                          30.7                          
Puno                          -15.8433                      -15.8433                      -15.8433                      
Mosquera                      3.59905                       2.4903                        4.7078                        
Sakata                        38.9145                       38.9145                       38.9145                       
Rockaway                      40.9602                       40.9602                       40.9602                       
Dispur                        26.15                         26.15                         26.15                         
Gajendragarh                  15.7363                       15.7363                       15.7363                       
Koforidua                     6.0833                        6.0833                        6.0833                        
Miaoli                        24.57                         24.57                         24.57                         
Toucheng                      24.85                         24.85                         24.85                         
Sunrise                       26.1547                       26.1547                       26.1547                       
Tukuyu                        -9.25                         -9.25                         -9.25                         
Zoetermeer                    52.0667                       52.0667                       52.0667                       
Ban Bang Pu Mai               13.5441                       13.5441                       13.5441                       
Seto                          35.2236                       35.2236                       35.2236                       
Del Carmen                    9.869                         9.869                         9.869                         
Brokopondo                    5.0667                        5.0667                        5.0667                        
Buug                          7.7286                        7.7286                        7.7286                        
Arafat                        18.0464                       18.0464                       18.0464                       
Kara                          9.5511                        9.5511                        9.5511                        
Romford                       51.5768                       51.5768                       51.5768                       
Nandasmo                      11.9247                       11.9247                       11.9247                       
Pinsk                         52.1153                       52.1153                       52.1153                       
Caraguatatuba                 -23.62                        -23.62                        -23.62                        
La Ligua                      -32.45                        -32.45                        -32.45                        
Rudnyy                        52.9667                       52.9667                       52.9667                       
South Lyon                    42.4614                       42.4614                       42.4614                       
Imperia                       43.8833                       43.8833                       43.8833                       
Ulm                           48.4                          48.4                          48.4                          
Erzin                         36.9533                       36.9533                       36.9533                       
Darnah                        32.7667                       32.7667                       32.7667                       
Novi                          42.4786                       42.4786                       42.4786                       
Texistepec                    17.9                          17.9                          17.9                          
Nobres                        -14.72                        -14.72                        -14.72                        
Yoboki                        11.5167                       11.5167                       11.5167                       
Nagda                         23.4564                       23.4564                       23.4564                       
East Whiteland                40.0474                       40.0474                       40.0474                       
Allada                        6.65                          6.65                          6.65                          
Risch                         47.1411                       47.1411                       47.1411                       
Dessalines                    19.2833                       19.2833                       19.2833                       
Jovellanos                    22.8106                       22.8106                       22.8106                       
Gamarra                       8.3333                        8.3333                        8.3333                        
Bonnyrigg                     55.8747                       55.8747                       55.8747                       
El Jicaral                    12.7286                       12.7286                       12.7286                       
Heilbronn                     49.15                         49.15                         49.15                         
Cerro Maggiore                45.6                          45.6                          45.6                          
Unna                          51.5347                       51.5347                       51.5347                       
Timmendorfer Strand           53.9944                       53.9944                       53.9944                       
Harpur                        26.0532                       25.6537                       26.4527                       
Jinji                         22.165                        22.165                        22.165                        
San Ignacio                   3.98492                       -26.8867                      17.1588                       
Arlington Heights             42.0955                       42.0955                       42.0955                       
Damme                         51.8854                       51.25                         52.5208                       
Bam                           29.1061                       29.1061                       29.1061                       
La Mornaghia                  36.7667                       36.7667                       36.7667                       
Monza                         45.5836                       45.5836                       45.5836                       
Gudlavalleru                  16.35                         16.35                         16.35                         
Pforzheim                     48.895                        48.895                        48.895                        
Payakumbuh                    -0.2333                       -0.2333                       -0.2333                       
Hengnan                       22.5337                       22.5337                       22.5337                       
Simi Valley                   34.2663                       34.2663                       34.2663                       
Ban Pak Phun                  8.5391                        8.5391                        8.5391                        
Krus na Ligas                 14.6442                       14.6442                       14.6442                       
Wajimazakimachi               37.3906                       37.3906                       37.3906                       
Pakokku                       21.332                        21.332                        21.332                        
Kimovsk                       53.9667                       53.9667                       53.9667                       
Larache                       35.1833                       35.1833                       35.1833                       
Maidenhead                    51.5217                       51.5217                       51.5217                       
Pursa                         26.3019                       26.3019                       26.3019                       
Duitama                       5.8333                        5.8333                        5.8333                        
Gudja                         35.8483                       35.8483                       35.8483                       
Brookline                     42.3243                       42.3243                       42.3243                       
Lesquin                       50.5897                       50.5897                       50.5897                       
Exeter                        42.5809                       36.2941                       50.7256                       
Chornobaivka                  46.7006                       46.7006                       46.7006                       
Guntakal                      15.17                         15.17                         15.17                         
San Miguel de Salcedo         -1.05                         -1.05                         -1.05                         
Kosai                         34.7184                       34.7184                       34.7184                       
Iizuka                        33.65                         33.65                         33.65                         
Bagong Silangan               14.7094                       14.7094                       14.7094                       
Upminster                     51.5557                       51.5557                       51.5557                       
Tsiately                      -23.3167                      -23.3167                      -23.3167                      
Clifton Park                  42.8587                       42.8587                       42.8587                       
Rishra                        22.71                         22.71                         22.71                         
Tivat                         42.43                         42.43                         42.43                         
Pinal de Amoles               21.1342                       21.1342                       21.1342                       
Western Bicutan               14.5094                       14.5094                       14.5094                       
Atlautla                      19                            19                            19                            
Bagneux                       48.7983                       48.7983                       48.7983                       
Saskylakh                     71.9653                       71.9653                       71.9653                       
Jishi                         35.8511                       35.8511                       35.8511                       
Jizhou                        37.5455                       37.5455                       37.5455                       
Bolokhovo                     54.0833                       54.0833                       54.0833                       
Romanshorn                    47.5635                       47.5635                       47.5635                       
Newburyport                   42.8124                       42.8124                       42.8124                       
Chinautla                     14.7029                       14.7029                       14.7029                       
Sidi Zouine                   31.6706                       31.6706                       31.6706                       
Yuanlin                       23.9611                       23.9611                       23.9611                       
Marpalli                      17.5389                       17.5389                       17.5389                       
Tazovskiy                     67.4833                       67.4833                       67.4833                       
Colchester                    46.0028                       41.5621                       51.8917                       
Streetly                      52.577                        52.577                        52.577                        
Bonao                         18.95                         18.95                         18.95                         
Nanto                         36.5878                       36.5878                       36.5878                       
Uruguaiana                    -29.755                       -29.755                       -29.755                       
Cherasco                      44.65                         44.65                         44.65                         
Kumbo                         6.2                           6.2                           6.2                           
Lake Arrowhead                34.2531                       34.2531                       34.2531                       
Sorsk                         54.0333                       54.0333                       54.0333                       
Billings                      45.7891                       45.7891                       45.7891                       
Leeuwarden                    53.2                          53.2                          53.2                          
Chautham                      25.5439                       25.5439                       25.5439                       
Juticalpa                     14.6664                       14.6664                       14.6664                       
Zhaxi                         27.844                        27.844                        27.844                        
Tuxpan                        20.7164                       19.5661                       21.8667                       
Manerbio                      45.3667                       45.3667                       45.3667                       
Mukumbura                     -16.2                         -16.2                         -16.2                         
Ponce                         18.0127                       18.0127                       18.0127                       
Gyumri                        40.7894                       40.7894                       40.7894                       
Rosales                       15.8944                       15.8944                       15.8944                       
Tongeren                      50.7794                       50.7794                       50.7794                       
Pervouralsk                   56.9167                       56.9167                       56.9167                       
Mozzate                       45.6833                       45.6833                       45.6833                       
Noksan                        36.2039                       36.2039                       36.2039                       
Walsall Wood                  52.6277                       52.6277                       52.6277                       
Aki                           33.5                          33.5                          33.5                          
Montreuil                     48.8611                       48.8611                       48.8611                       
Wunsiedel                     50.0167                       50.0167                       50.0167                       
Baia Mare                     47.6667                       47.6667                       47.6667                       
Gering                        41.8275                       41.8275                       41.8275                       
Ekma                          26.0105                       25.967                        26.0541                       
Debre Tabor                   11.85                         11.85                         11.85                         
Collingswood                  39.916                        39.916                        39.916                        
Taverny                       49.0264                       49.0264                       49.0264                       
Samut Prakan                  13.5897                       13.5897                       13.5897                       
Siocon                        7.7067                        7.7067                        7.7067                        
Melipilla                     -33.6253                      -33.6253                      -33.6253                      
Tyngsborough                  42.6662                       42.6662                       42.6662                       
Tindouf                       27.6753                       27.6753                       27.6753                       
Australia                     22.4995                       22.4995                       22.4995                       
Richards Bay                  -28.7694                      -28.7694                      -28.7694                      
Pati                          -6.7415                       -6.7415                       -6.7415                       
Lehre                         52.3167                       52.3167                       52.3167                       
Encamp                        42.5361                       42.5361                       42.5361                       
Kuhmo                         64.125                        64.125                        64.125                        
Kaya                          13.0833                       13.0833                       13.0833                       
Ronchin                       50.6047                       50.6047                       50.6047                       
Ise                           34.4833                       34.4833                       34.4833                       
El Socorro                    8.9936                        8.9936                        8.9936                        
Butaleja                      0.925                         0.925                         0.925                         
Ampana                        -0.8667                       -0.8667                       -0.8667                       
Poranga                       -4.745                        -4.745                        -4.745                        
Brits                         -25.6344                      -25.6344                      -25.6344                      
Remich                        49.5444                       49.5444                       49.5444                       
Itatiba                       -23.0058                      -23.0058                      -23.0058                      
Salford                       53.483                        53.483                        53.483                        
Titusville                    28.5727                       28.5727                       28.5727                       
Lianhe                        47.1414                       47.1414                       47.1414                       
Ed Damer                      17.59                         17.59                         17.59                         
Gloria                        12.9722                       12.9722                       12.9722                       
Hidalgo                       26.109                        26.109                        26.109                        
Tocoa                         15.6833                       15.6833                       15.6833                       
Yegoryevsk                    55.3833                       55.3833                       55.3833                       
Tifni                         31.6281                       31.6281                       31.6281                       
Blackburn                     53.748                        53.748                        53.748                        
Manampatrana                  -21.65                        -21.65                        -21.65                        
Saanich                       48.484                        48.484                        48.484                        
Phalaborwa                    -23.9333                      -23.9333                      -23.9333                      
Semera                        11.7922                       11.7922                       11.7922                       
Guelma                        36.4619                       36.4619                       36.4619                       
Crofton                       39.0144                       39.0144                       39.0144                       
Mufulira                      -12.5356                      -12.5356                      -12.5356                      
Oshakati                      -17.7833                      -17.7833                      -17.7833                      
Maina                         18.3202                       13.4692                       23.1712                       
Fanyang                       31.0847                       31.0847                       31.0847                       
Dharmavaram                   16.6188                       14.43                         18.2164                       
Hohenems                      47.3667                       47.3667                       47.3667                       
Edegem                        51.15                         51.15                         51.15                         
Honmachi                      37.4908                       32.5                          43.9115                       
Ritterhude                    53.1861                       53.1861                       53.1861                       
Independence                  40.0262                       37.2119                       44.8547                       
Georgian Bluffs               44.65                         44.65                         44.65                         
Pioltello                     45.5                          45.5                          45.5                          
Las Rosas                     -8.0583                       -32.4833                      16.3667                       
Kansk                         56.2                          56.2                          56.2                          
Kamalia                       30.7258                       30.7258                       30.7258                       
Margherita di Savoia          41.3667                       41.3667                       41.3667                       
Higashiyamato                 35.7454                       35.7454                       35.7454                       
Pambujan                      12.5667                       12.5667                       12.5667                       
Uithoorn                      52.2333                       52.2333                       52.2333                       
Texas City                    29.4154                       29.4154                       29.4154                       
West Lafayette                40.4432                       40.4432                       40.4432                       
Cerritos                      28.1476                       22.4275                       33.8678                       
Puruliya                      23.3333                       23.3333                       23.3333                       
Nanterre                      48.8988                       48.8988                       48.8988                       
Ouargaye                      11.5                          11.5                          11.5                          
Aiyetoro Gbede                7.9833                        7.9833                        7.9833                        
Kashiwara                     34.55                         34.5167                       34.5833                       
Befody                        -20.7667                      -20.7667                      -20.7667                      
Redding                       40.9374                       40.5698                       41.305                        
Shibancun                     22.1539                       22.1539                       22.1539                       
Boerne                        29.7847                       29.7847                       29.7847                       
Guayama                       17.9743                       17.9743                       17.9743                       
Corrente                      -10.4428                      -10.4428                      -10.4428                      
Serafimovich                  49.5833                       49.5833                       49.5833                       
Inhassoro                     -21.5333                      -21.5333                      -21.5333                      
Tsuruoka                      38.7272                       38.7272                       38.7272                       
Cabestany                     42.6806                       42.6806                       42.6806                       
Guarapari                     -20.65                        -20.65                        -20.65                        
La Llagosta                   41.5156                       41.5156                       41.5156                       
Le Locle                      47.0532                       47.0532                       47.0532                       
Marlow                        51.57                         51.57                         51.57                         
Harunabad                     29.613                        29.613                        29.613                        
Bruges                        48.0459                       44.8828                       51.2089                       
Klatovy                       49.3956                       49.3956                       49.3956                       
Metz                          49.1203                       49.1203                       49.1203                       
Chinandega                    12.6297                       12.6297                       12.6297                       
Zonguldak                     41.4564                       41.4564                       41.4564                       
Unwana                        5.8625                        5.8625                        5.8625                        
Patnongon                     10.9142                       10.9142                       10.9142                       
Argenta                       44.6153                       44.6153                       44.6153                       
Manono                        -7.2947                       -7.2947                       -7.2947                       
Catchiungo                    -12.7864                      -12.7864                      -12.7864                      
Zhemgang                      27.2134                       27.2134                       27.2134                       
Jiji                          23.83                         23.83                         23.83                         
Tizayuca                      19.8333                       19.8333                       19.8333                       
Malvinas Argentinas           -31.3697                      -31.3697                      -31.3697                      
Darjeeling                    27.0375                       27.0375                       27.0375                       
Iguaba Grande                 -22.8389                      -22.8389                      -22.8389                      
Minas                         -6.43865                      -34.3667                      21.4894                       
Welwyn Garden City            51.8062                       51.8062                       51.8062                       
Nouadhibou                    20.9333                       20.9333                       20.9333                       
Renton                        47.4784                       47.4784                       47.4784                       
Yessentuki                    44.0333                       44.0333                       44.0333                       
Vailoa                        -13.7558                      -13.7558                      -13.7558                      
Pleven                        43.4078                       43.4078                       43.4078                       
Ajax                          43.8583                       43.8583                       43.8583                       
Passagem Franca               -6.18                         -6.18                         -6.18                         
Nerekhta                      57.45                         57.45                         57.45                         
Stone Ridge                   38.9294                       38.9294                       38.9294                       
Alcobendas                    40.5333                       40.5333                       40.5333                       
Zetel                         53.4197                       53.4197                       53.4197                       
Kendale Lakes                 25.7081                       25.7081                       25.7081                       
Sopur                         34.3                          34.3                          34.3                          
Mill Creek East               47.8361                       47.8361                       47.8361                       
Silifke                       36.3761                       36.3761                       36.3761                       
West Boldon                   54.945                        54.945                        54.945                        
Krasnoufimsk                  56.6167                       56.6167                       56.6167                       
Arroyos y Esteros             -25.05                        -25.05                        -25.05                        
Paulo Afonso                  -9.4                          -9.4                          -9.4                          
Aw Dheegle                    1.9667                        1.9667                        1.9667                        
Fateh Nangal                  31.9453                       31.9453                       31.9453                       
Apalit                        14.9496                       14.9496                       14.9496                       
Panhar                        25.0936                       25.0936                       25.0936                       
Cheviot                       39.1577                       39.1577                       39.1577                       
Bet Shemesh                   31.7456                       31.7456                       31.7456                       
Laja                          -37.2667                      -37.2667                      -37.2667                      
Riccione Marina               44                            44                            44                            
Bwana Mkubwa                  -12.9833                      -12.9833                      -12.9833                      
Duluth                        40.3905                       34.0053                       46.7756                       
Spoleto                       42.7565                       42.7565                       42.7565                       
Richterswil                   47.2167                       47.2167                       47.2167                       
Amboavory                     -17.3                         -17.3                         -17.3                         
Burhar                        23.2149                       23.2149                       23.2149                       
Godalming                     51.18                         51.18                         51.18                         
Sulphur Springs               33.1421                       33.1421                       33.1421                       
Charallave                    10.2431                       10.2431                       10.2431                       
San Buenaventura              30.6683                       27.0625                       34.2741                       
Mysore                        12.3086                       12.3086                       12.3086                       
Readington                    40.5822                       40.5822                       40.5822                       
Lake Arbor                    38.9105                       38.9105                       38.9105                       
Cipanas                       -6.733                        -6.733                        -6.733                        
Beaucaire                     43.8072                       43.8072                       43.8072                       
Michendorf                    52.3129                       52.3129                       52.3129                       
Despujols                     12.5183                       12.5183                       12.5183                       
Ambohibe                      -17.45                        -17.45                        -17.45                        
Nurhak                        37.9658                       37.9658                       37.9658                       
Federal                       -30.95                        -30.95                        -30.95                        
Vijayapuri North              16.6028                       16.6028                       16.6028                       
Ambalatany                    -22.5333                      -22.5333                      -22.5333                      
